County,state,cases,deaths,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
Augusta County,Virginia,19073,216,21.9,18.5,4.2,22.7,87.4,4703,0.3,0.6,4.7,3.1,0,1.6,92.8,90.2,79.3,29539,32851,214000,2.4,62711,30272,2.6,967,3.4,87.3,1884187,23.9,49.2,5648,77487,73750,76.3,56499,621286,5645,1784,3051,282,5174,728,4536
Louisa County,Virginia,6842,85,20.3,20.1,5.4,24.1,85.2,2329,0.6,0.6,15.6,3.3,0.1,2.3,80.8,78.1,80,13871,17916,223100,2.59,60975,34041,3.6,496.3,4.8,89.1,426830,36.7,50.5,3259,37596,33153,66.8,18177,276447,2460,812,1349,378,2023,289,2013
Essex County,Virginia,2285,33,23.7,18.4,4.9,17.4,82.3,805,0.9,1.2,37.4,3.9,0.2,3,57.3,54.9,67.1,4555,5894,202800,2.38,51954,26847,1.6,257.12,3.6,87.8,90738,35.7,53.1,636,10599,11151,43.4,19587,236634,842,229,470,146,640,139,614
Charlotte County,Virginia,2540,46,22.6,20.9,5.6,10.9,83.2,670,0.4,0.3,27.6,2.3,0,1.8,69.9,68.3,71.3,4661,6348,111900,2.55,40573,22018,0.8,475.27,2.1,93.2,74806,32.8,50.4,826,11529,12586,26.5,4461,56529,684,276,352,134,522,140,513
Rockbridge County,Virginia,3301,80,26.8,17.1,4,26.7,86.8,1531,0.6,0.7,3.3,2,0,1.8,93.5,91.9,75.2,9248,11532,199600,2.42,54600,31539,2.3,597.56,3.3,88.2,197599,25.9,50.5,1707,22650,22307,37.3,44317,360059,1562,497,843,76,1411,162,1313
Dickenson County,Virginia,3325,50,23,19.6,4.7,10.7,77.4,415,0.3,0.2,0.5,1.1,-1,0.8,98.2,97.3,75.7,5778,7563,81000,2.47,29932,24978,0.4,330.53,0.4,93.1,-1,27.8,49.1,925,14124,15903,48.1,-1,102343,805,269,354,0,757,99,655
Powhatan County,Virginia,5257,59,19,18.1,4.5,29.2,89.9,2222,0.4,0.6,9.2,2.3,0.1,1.6,88,86.1,90.1,10265,11274,279200,2.55,89090,37424,2.2,260.22,2.4,90.5,-1,33.1,48.3,2185,30333,28046,107.8,17099,264151,2333,703,1372,228,2055,115,2062
Buchanan County,Virginia,4902,122,23.1,17.3,4.2,11.8,70.1,802,0.2,0.4,3.4,0.9,0,0.7,95.3,94.6,77.3,8569,11556,72300,2.44,31956,19496,1.8,502.76,2,91.2,91685,27.3,49.4,806,20355,24098,47.9,15258,173035,1056,366,514,41,961,226,753
Cumberland County,Virginia,1366,27,23.1,18.9,4.6,14.9,83.5,537,0.8,0.5,30.5,3.2,0,2.4,65.8,63.5,73.9,3975,4760,146000,2.46,47469,25138,1,297.46,3.5,94.4,-1,44.8,51.6,798,9675,10052,33.8,1361,40387,426,154,239,48,361,60,348
Amelia County,Virginia,2683,61,20.1,20.8,5.5,17.1,83.9,870,0.6,0.6,20.4,3.2,0,1.8,76.5,74,84.4,4954,5677,201400,2.59,57946,31688,1.2,355.27,3.8,89.8,98420,39.9,50.7,980,13265,12690,35.7,5047,71057,893,335,444,159,695,69,778
Carroll County,Virginia,6747,148,25.4,17.8,4.2,15,80.8,1715,0.3,0.2,0.9,3.9,0.1,1.3,97.2,94,78.3,12357,16708,112900,2.4,44835,25449,2,474.69,2.5,91.5,-1,26,50.4,1880,29155,30042,63.3,34380,285688,2103,513,1358,78,1988,257,1752
Greene County,Virginia,4074,62,17.8,23.8,6.2,29,86.1,1430,0.4,2,7.3,6,0.1,2.6,87.6,82.2,77.6,7548,8488,236400,2.57,67398,32508,4.6,156.25,7.6,88.4,-1,29.8,51.3,1464,20552,18403,117.8,14944,183922,1440,422,791,69,1291,307,1066
Bath County,Virginia,906,20,28,15.1,4.1,15.9,90.3,355,0.2,0.5,4.8,2.2,-1,1.5,92.9,91.1,75.3,1801,3300,165300,2.28,49738,27527,2.1,529.16,2,89.4,-1,23,49.4,373,4209,4731,8.9,63467,17227,402,136,210,0,371,79,294
Stafford County,Virginia,31265,177,10.7,25.9,6.4,39.9,93.2,9954,0.8,3.6,20,14.2,0.2,4.5,70.9,59.3,77.4,47075,51376,346100,3.04,111108,42126,9.8,268.96,14.4,84.9,171086,40.5,49.5,20297,156927,128961,479.5,161438,1247882,8581,3285,4496,2242,6066,1355,6816
Arlington County,Virginia,46198,323,11.1,18.1,5.8,75.3,94.3,21303,0.6,11,9.7,15.6,0.1,3.6,75,61.4,42.7,107032,118880,705400,2.15,120071,71841,23.2,25.97,29.7,79.6,54117,29.2,49.9,12177,238643,207627,7993.6,1362362,2608839,21665,7902,11888,6403,14039,2366,18087
Northampton County,Virginia,2183,65,27,19.7,5.1,22.6,82.5,1047,0.4,1,33.7,9.5,0.2,1.9,62.7,54.3,65.2,5148,7440,176800,2.25,47227,28518,5.5,211.61,9.6,94.2,-1,20.7,52.1,1055,12282,12389,58.5,28959,117921,1342,326,825,226,1011,163,1058
Goochland County,Virginia,4153,53,22.9,17.2,3.7,41.8,91.4,2294,0.4,1.7,15.8,3.1,0,1.7,80.4,77.8,84.9,8506,9613,375200,2.55,93994,51720,4.1,281.42,5,89.2,27105,30.8,50.9,1530,24727,21717,77.2,25635,215509,2812,707,1640,380,2356,327,2265
Southampton County,Virginia,3446,93,20.8,18.6,4.2,18.4,84.8,948,0.5,0.5,34.7,2,0.1,1.9,62.3,61,74.8,6562,7673,178500,2.5,61348,26600,0.5,599.15,1.6,87.9,106431,31,48.3,1852,17996,18570,31,3825,55663,1050,371,651,354,665,182,848
Mathews County,Virginia,1524,28,31.5,15.6,3.9,27.9,90.5,833,0.3,0.9,8.5,2.7,0.1,2.1,88.1,85.7,85,3920,5764,226300,2.21,64237,35731,2.3,85.93,2.8,90.1,-1,38.6,51.6,1097,8533,8978,104.5,6404,54443,978,385,525,0,927,71,864
York County,Virginia,10189,109,16.6,23.5,5.3,47.1,94.7,3975,0.5,6.1,13.8,6.9,0.3,3.9,75.4,70.1,71.3,25103,28522,327100,2.65,92069,41201,7.9,104.78,11.1,84,-1,22.9,50.9,9508,70045,65464,624.8,269881,884399,4158,1694,2024,859,3099,701,3150
Lunenburg County,Virginia,2460,39,22.7,18.9,5.3,11.3,77.8,616,0.5,0.3,33.9,5.4,0.2,2.2,62.9,58.9,71.8,4293,5998,119500,2.63,44303,19848,6.1,431.68,4.8,94.4,99369,30.3,47.1,1085,11936,12914,29.9,-1,51265,900,283,547,183,697,78,780
Henry County,Virginia,12205,266,24.5,19.2,4.5,13.9,80.1,2384,0.4,0.5,22.6,5.8,0.1,2,74.4,69.5,71.9,21218,26170,93900,2.38,37952,22372,2.7,382.33,6.7,90.6,834700,23.3,51.9,3804,50948,54151,141.6,41307,581502,3211,1049,1839,435,2631,324,2726
